language,domain,nlp_tasks,value
Basque,Industrial biotechnology,argument mining,0
Basque,Industrial biotechnology,anaphora resolution,0
Basque,Nano-technology,optical character recognition,0
Basque,Nano-technology,speech recognition,0
Basque,Nano-technology,speech segmentation,0
Basque,Nano-technology,text-to-speech,0
Basque,Nano-technology,word segmentation,0
Basque,Nano-technology,lemmatization,0
Basque,Nano-technology,morphological segmentation,0
Basque,Nano-technology,part-of-speech tagging,0
Basque,Nano-technology,stemming,0
Basque,Nano-technology,grammar induction,0
Basque,Nano-technology,sentence breaking ,0
Basque,Nano-technology,parsing,0
Basque,Nano-technology,lexical semantics,0
Basque,Nano-technology,distributional semantics,0
Basque,Nano-technology,named entity recognition,0
Basque,Nano-technology,sentiment analysis,0
Basque,Nano-technology,terminology extraction,0
Basque,Nano-technology,word-sense disambiguation,0
Basque,Nano-technology,entity linking,0
Basque,Nano-technology,multiword expressions,0
Basque,Nano-technology,relationship extraction,0
Basque,Nano-technology,semantic parsing,0
Basque,Nano-technology,semantic role labelling,0
Basque,Nano-technology,coreference resolution,0
Basque,Nano-technology,discourse analysis,0
Basque,Nano-technology,implicit semantic role labelling,0
Basque,Nano-technology,recognizing textual entailment,0
Basque,Nano-technology,topic segmentation,0
Basque,Nano-technology,argument mining,0
Basque,Nano-technology,anaphora resolution,0
Basque,Agriculture,optical character recognition,0
Basque,Agriculture,speech recognition,0
Basque,Agriculture,speech segmentation,0
Basque,Agriculture,text-to-speech,0
Basque,Agriculture,word segmentation,0
Basque,Agriculture,lemmatization,0
Basque,Agriculture,morphological segmentation,0
Basque,Agriculture,part-of-speech tagging,0
Basque,Agriculture,stemming,0
Basque,Agriculture,grammar induction,0
Basque,Agriculture,sentence breaking ,0
Basque,Agriculture,parsing,0
Basque,Agriculture,lexical semantics,0
Basque,Agriculture,distributional semantics,0
Basque,Agriculture,named entity recognition,0
Basque,Agriculture,sentiment analysis,0
Basque,Agriculture,terminology extraction,0
Basque,Agriculture,word-sense disambiguation,0
Basque,Agriculture,entity linking,0
Basque,Agriculture,multiword expressions,0
Basque,Agriculture,relationship extraction,0
Basque,Agriculture,semantic parsing,0
Basque,Agriculture,semantic role labelling,0
Basque,Agriculture,coreference resolution,0
Basque,Agriculture,discourse analysis,0
Basque,Agriculture,implicit semantic role labelling,0
Basque,Agriculture,recognizing textual entailment,0
Basque,Agriculture,topic segmentation,0
Basque,Agriculture,argument mining,0
Basque,Agriculture,anaphora resolution,0
Basque,Forestry,optical character recognition,0
Basque,Forestry,speech recognition,0
Basque,Forestry,speech segmentation,0
Basque,Forestry,text-to-speech,0
Basque,Forestry,word segmentation,0
Basque,Forestry,lemmatization,0
Basque,Forestry,morphological segmentation,0
Basque,Forestry,part-of-speech tagging,0
Basque,Forestry,stemming,0
Basque,Forestry,grammar induction,0
Basque,Forestry,sentence breaking ,0
Basque,Forestry,parsing,0
Basque,Forestry,lexical semantics,0
Basque,Forestry,distributional semantics,0
Basque,Forestry,named entity recognition,0
Basque,Forestry,sentiment analysis,0
Basque,Forestry,terminology extraction,0
Basque,Forestry,word-sense disambiguation,0
Basque,Forestry,entity linking,0
Basque,Forestry,multiword expressions,0
Basque,Forestry,relationship extraction,0
Basque,Forestry,semantic parsing,0
Basque,Forestry,semantic role labelling,0
Basque,Forestry,coreference resolution,0
Basque,Forestry,discourse analysis,0
Basque,Forestry,implicit semantic role labelling,0
Basque,Forestry,recognizing textual entailment,0
Basque,Forestry,topic segmentation,0
Basque,Forestry,argument mining,0
Basque,Forestry,anaphora resolution,0
Basque,Fisheries,optical character recognition,0
Basque,Fisheries,speech recognition,0
Basque,Fisheries,speech segmentation,0
Basque,Fisheries,text-to-speech,0
Basque,Fisheries,word segmentation,0
Basque,Fisheries,lemmatization,0
Basque,Fisheries,morphological segmentation,0
Basque,Fisheries,part-of-speech tagging,0
Basque,Fisheries,stemming,0
Basque,Fisheries,grammar induction,0
Basque,Fisheries,sentence breaking ,0
Basque,Fisheries,parsing,0
Basque,Fisheries,lexical semantics,0
Basque,Fisheries,distributional semantics,0
Basque,Fisheries,named entity recognition,0
Basque,Fisheries,sentiment analysis,0
Basque,Fisheries,terminology extraction,0
Basque,Fisheries,word-sense disambiguation,0
Basque,Fisheries,entity linking,0
Basque,Fisheries,multiword expressions,0
Basque,Fisheries,relationship extraction,0
Basque,Fisheries,semantic parsing,0
Basque,Fisheries,semantic role labelling,0
Basque,Fisheries,coreference resolution,0
Basque,Fisheries,discourse analysis,0
Basque,Fisheries,implicit semantic role labelling,0
Basque,Fisheries,recognizing textual entailment,0
Basque,Fisheries,topic segmentation,0
